"EnumGroup","Value","LabelTH","LabelEN","Meaning","StorageColumn","SortOrder","Default","Terminal","Notes"
"share_mode","dashboard-readonly","แดชบอร์ดอ่านอย่างเดียว","dashboard-readonly","หมายถึง แดชบอร์ดอ่านอย่างเดียว สำหรับกลุ่ม share_mode","dashboard_share_links, embed_settings","2","YES","NO","Matches local share utilities and public routes."
"share_mode","embed","ฝังในหน้าเว็บ","embed","หมายถึง ฝังในหน้าเว็บ สำหรับกลุ่ม share_mode","dashboard_share_links, embed_settings","3","NO","NO","Matches local share utilities and public routes."
"share_status","active","ใช้งาน","active","หมายถึง ใช้งาน สำหรับกลุ่ม share_status","dashboard_share_links","1","YES","NO","Revoked links must remain for audit and access-denied records."
"share_status","revoked","เพิกถอนแล้ว","revoked","หมายถึง เพิกถอนแล้ว สำหรับกลุ่ม share_status","dashboard_share_links","2","NO","YES","Revoked links must remain for audit and access-denied records."
"share_status","expired","หมดอายุ","expired","หมายถึง หมดอายุ สำหรับกลุ่ม share_status","dashboard_share_links","3","NO","YES","Revoked links must remain for audit and access-denied records."
"share_status","suspended","ระงับ","suspended","หมายถึง ระงับ สำหรับกลุ่ม share_status","dashboard_share_links","4","NO","NO","Revoked links must remain for audit and access-denied records."
"export_format","png","ไฟล์ PNG","png","หมายถึง ไฟล์ PNG สำหรับกลุ่ม export_format","export_jobs, chart_exports, dashboard_exports","1","YES","NO","Current UI supports image/PDF-style dashboard exports; data exports are future-safe."
"export_format","jpg","ไฟล์ JPG","jpg","หมายถึง ไฟล์ JPG สำหรับกลุ่ม export_format","export_jobs, chart_exports, dashboard_exports","2","NO","NO","Current UI supports image/PDF-style dashboard exports; data exports are future-safe."
"export_format","pdf","ไฟล์ PDF","pdf","หมายถึง ไฟล์ PDF สำหรับกลุ่ม export_format","export_jobs, chart_exports, dashboard_exports","3","NO","NO","Current UI supports image/PDF-style dashboard exports; data exports are future-safe."
"export_format","csv","ไฟล์ CSV","csv","หมายถึง ไฟล์ CSV สำหรับกลุ่ม export_format","export_jobs, chart_exports, dashboard_exports","4","NO","NO","Current UI supports image/PDF-style dashboard exports; data exports are future-safe."
"export_format","json","ไฟล์ JSON","json","หมายถึง ไฟล์ JSON สำหรับกลุ่ม export_format","export_jobs, chart_exports, dashboard_exports","5","NO","NO","Current UI supports image/PDF-style dashboard exports; data exports are future-safe."
"export_format","xlsx","ไฟล์ Excel","xlsx","หมายถึง ไฟล์ Excel สำหรับกลุ่ม export_format","export_jobs, chart_exports, dashboard_exports","6","NO","NO","Current UI supports image/PDF-style dashboard exports; data exports are future-safe."
"theme_option","light","โหมดสว่าง","light","หมายถึง โหมดสว่าง สำหรับกลุ่ม theme_option","user_preferences, embed_settings, system_settings","1","YES","NO","Settings page currently exposes light/dark; share embed also supports auto."
"theme_option","dark","โหมดมืด","dark","หมายถึง โหมดมืด สำหรับกลุ่ม theme_option","user_preferences, embed_settings, system_settings","2","NO","NO","Settings page currently exposes light/dark; share embed also supports auto."
"theme_option","auto","อัตโนมัติ","auto","หมายถึง อัตโนมัติ สำหรับกลุ่ม theme_option","user_preferences, embed_settings, system_settings","3","NO","NO","Settings page currently exposes light/dark; share embed also supports auto."
"density_option","compact","กะทัดรัด","compact","หมายถึง กะทัดรัด สำหรับกลุ่ม density_option","user_preferences, system_settings","1","NO","NO","From SettingsPage density choices."
"density_option","comfortable","มาตรฐาน","comfortable","หมายถึง มาตรฐาน สำหรับกลุ่ม density_option","user_preferences, system_settings","2","YES","NO","From SettingsPage density choices."
"density_option","spacious","โปร่ง","spacious","หมายถึง โปร่ง สำหรับกลุ่ม density_option","user_preferences, system_settings","3","NO","NO","From SettingsPage density choices."
"approval_status","pending","รอดำเนินการ","pending","หมายถึง รอดำเนินการ สำหรับกลุ่ม approval_status","approval_requests, approval_request_steps, approval_actions","1","YES","NO","Supports publish/export/share governance workflows."
"approval_status","approved","อนุมัติแล้ว","approved","หมายถึง อนุมัติแล้ว สำหรับกลุ่ม approval_status","approval_requests, approval_request_steps, approval_actions","2","NO","NO","Supports publish/export/share governance workflows."
"approval_status","rejected","ปฏิเสธ","rejected","หมายถึง ปฏิเสธ สำหรับกลุ่ม approval_status","approval_requests, approval_request_steps, approval_actions","3","NO","YES","Supports publish/export/share governance workflows."
"approval_status","cancelled","ยกเลิก","cancelled","หมายถึง ยกเลิก สำหรับกลุ่ม approval_status","approval_requests, approval_request_steps, approval_actions","4","NO","YES","Supports publish/export/share governance workflows."
"approval_status","skipped","ข้าม","skipped","หมายถึง ข้าม สำหรับกลุ่ม approval_status","approval_requests, approval_request_steps, approval_actions","5","NO","NO","Supports publish/export/share governance workflows."
"approval_status","delegated","มอบหมายแทน","delegated","หมายถึง มอบหมายแทน สำหรับกลุ่ม approval_status","approval_requests, approval_request_steps, approval_actions","6","NO","NO","Supports publish/export/share governance workflows."
"notification_status","queued","รอคิว","queued","หมายถึง รอคิว สำหรับกลุ่ม notification_status","notifications, notification_delivery_logs","1","YES","NO","Read/dismissed are user-recipient states, not delivery states."
"notification_status","sent","ส่งแล้ว","sent","หมายถึง ส่งแล้ว สำหรับกลุ่ม notification_status","notifications, notification_delivery_logs","2","NO","NO","Read/dismissed are user-recipient states, not delivery states."
"notification_status","failed","ล้มเหลว","failed","หมายถึง ล้มเหลว สำหรับกลุ่ม notification_status","notifications, notification_delivery_logs","3","NO","YES","Read/dismissed are user-recipient states, not delivery states."
"notification_status","read","อ่านแล้ว","read","หมายถึง อ่านแล้ว สำหรับกลุ่ม notification_status","notifications, notification_delivery_logs","4","NO","NO","Read/dismissed are user-recipient states, not delivery states."
"notification_status","dismissed","ปิดแล้ว","dismissed","หมายถึง ปิดแล้ว สำหรับกลุ่ม notification_status","notifications, notification_delivery_logs","5","NO","NO","Read/dismissed are user-recipient states, not delivery states."
"severity_level","debug","ดีบัก","debug","หมายถึง ดีบัก สำหรับกลุ่ม severity_level","error_logs, data_quality_findings, activity_logs","1","NO","NO","Use warning/error/critical for alerting thresholds."
"severity_level","info","ข้อมูล","info","หมายถึง ข้อมูล สำหรับกลุ่ม severity_level","error_logs, data_quality_findings, activity_logs","2","YES","NO","Use warning/error/critical for alerting thresholds."
"severity_level","notice","แจ้งเตือน","notice","หมายถึง แจ้งเตือน สำหรับกลุ่ม severity_level","error_logs, data_quality_findings, activity_logs","3","NO","NO","Use warning/error/critical for alerting thresholds."
"severity_level","warning","คำเตือน","warning","หมายถึง คำเตือน สำหรับกลุ่ม severity_level","error_logs, data_quality_findings, activity_logs","4","NO","NO","Use warning/error/critical for alerting thresholds."
"severity_level","error","ข้อผิดพลาด","error","หมายถึง ข้อผิดพลาด สำหรับกลุ่ม severity_level","error_logs, data_quality_findings, activity_logs","5","NO","NO","Use warning/error/critical for alerting thresholds."
"severity_level","critical","วิกฤต","critical","หมายถึง วิกฤต สำหรับกลุ่ม severity_level","error_logs, data_quality_findings, activity_logs","6","NO","NO","Use warning/error/critical for alerting thresholds."
"canvas_preset","auto","อัตโนมัติ","auto","หมายถึง อัตโนมัติ สำหรับกลุ่ม canvas_preset","dashboard_canvas_settings, user_preferences","1","YES","NO","SettingsPage exposes auto, 16:9, 4:3, and square."
"canvas_preset","16:9","ตัวเลือก 16:9","16:9","หมายถึง ตัวเลือก 16:9 สำหรับกลุ่ม canvas_preset","dashboard_canvas_settings, user_preferences","2","NO","NO","SettingsPage exposes auto, 16:9, 4:3, and square."
"canvas_preset","4:3","ตัวเลือก 4:3","4:3","หมายถึง ตัวเลือก 4:3 สำหรับกลุ่ม canvas_preset","dashboard_canvas_settings, user_preferences","3","NO","NO","SettingsPage exposes auto, 16:9, 4:3, and square."
"canvas_preset","square","ตัวเลือก square","square","หมายถึง ตัวเลือก square สำหรับกลุ่ม canvas_preset","dashboard_canvas_settings, user_preferences","4","NO","NO","SettingsPage exposes auto, 16:9, 4:3, and square."
"canvas_preset","custom","กำหนดเอง","custom","หมายถึง กำหนดเอง สำหรับกลุ่ม canvas_preset","dashboard_canvas_settings, user_preferences","5","NO","NO","SettingsPage exposes auto, 16:9, 4:3, and square."
"operator_type","equals","เท่ากับ","equals","หมายถึง เท่ากับ สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","1","YES","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
"operator_type","not_equals","ไม่เท่ากับ","not_equals","หมายถึง ไม่เท่ากับ สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","2","NO","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
"operator_type","contains","มีข้อความ","contains","หมายถึง มีข้อความ สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","3","NO","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
"operator_type","in","อยู่ในรายการ","in","หมายถึง อยู่ในรายการ สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","4","NO","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
"operator_type","not_in","ไม่อยู่ในรายการ","not_in","หมายถึง ไม่อยู่ในรายการ สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","5","NO","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
"operator_type","between","อยู่ระหว่าง","between","หมายถึง อยู่ระหว่าง สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","6","NO","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
"operator_type","greater_than","มากกว่า","greater_than","หมายถึง มากกว่า สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","7","NO","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
"operator_type","less_than","น้อยกว่า","less_than","หมายถึง น้อยกว่า สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","8","NO","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
"operator_type","is_null","ค่าว่าง","is_null","หมายถึง ค่าว่าง สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","9","NO","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
"operator_type","is_not_null","ไม่ว่าง","is_not_null","หมายถึง ไม่ว่าง สำหรับกลุ่ม operator_type","chart_filters, dashboard_filter_values, saved_view_filters, data_quality_rules","10","NO","NO","Generic filter grammar shared by charts, dashboards, saved views, and quality rules."
